Fund net assets,"Fossil fuel holdings, weight","Coal industry, weight","Oil / gas industry, weight","Fossil-fired utilities, weight",Fossil fuel finance fund score,"Fossil fuel finance holdings, weight",Fossil fuel insurance fund score,"Fossil fuel insurance holdings, weight","Clean200, weight"," Deforestation-risk producer, weight","Deforestation-risk financier, weight","Deforestation-risk consumer brand, weight",esg_score,grade
35445056,0.148,0,0.131,0.055,6.8,0.027,16.6,0.017,0.19,0,0.024,0.097,20.99,3
97653069,0.136,0.015,0.093,0.028,12.2,0.035,0,0,0.169,0,0.049,0.101,23.2,3
188360513,0.036,0,0.036,0,5.4,0.029,7.1,0.008,0.134,0,0.01,0,25.7,3
925427754,0.207,0.023,0.148,0.114,33.2,0.066,19.7,0.025,0.101,0,0.043,0.08,24.19,3
711068158,0.034,0,0.034,0.013,61.5,0.115,0,0,0.205,0,0.094,0.101,18.7,2
9121958385,0.071,0.008,0.064,0.015,0,0,0,0,0,0,0,0,23.3,3
1021050208,0.073,0.011,0.073,0.011,19.6,0.059,0,0,0.045,0,0.041,0.066,19.54,2
190322480,0.085,0.02,0.076,0.01,19.5,0.059,7.5,0.014,0.065,0,0.041,0.091,19.49,2
1084540449,0.138,0.026,0.065,0.073,0,0,0,0,0.01,0,0,0.006,26.16,3
2220582111,0.036,0.008,0.036,0.008,0,0,0,0,0.282,0,0,0.17,22.12,3
8417629386,0.183,0.012,0.139,0.096,43.3,0.089,26.3,0.029,0.03,0,0.057,0.128,28.59,3
1672803251,0.049,0,0.049,0,0,0,0,0,0.03,0,0,0.033,23.42,3
49997179,0.177,0.065,0.14,0.081,4.3,0.018,0,0,0.029,0,0,0.017,25.13,3
